doc_id,rouge1_p,rouge1_r,rouge1_f1,rouge2_p,rouge2_r,rouge2_f1,rougeL_p,rougeL_r,rougeL_f1
91635,0.7352941176470589,0.29880478087649404,0.42492917847025496,0.27722772277227725,0.112,0.15954415954415957,0.38235294117647056,0.1553784860557769,0.2209631728045326
374340,0.9292929292929293,0.3471698113207547,0.5054945054945055,0.6530612244897959,0.24242424242424243,0.35359116022099446,0.7777777777777778,0.29056603773584905,0.423076923076923
1132299,0.8928571428571429,0.40160642570281124,0.554016620498615,0.5855855855855856,0.2620967741935484,0.36211699164345407,0.5089285714285714,0.2289156626506024,0.3157894736842105
70487596,0.7789473684210526,0.2890625,0.42165242165242167,0.3829787234042553,0.1411764705882353,0.20630372492836674,0.5368421052631579,0.19921875,0.29059829059829057
60799,0.7065217391304348,0.3037383177570093,0.4248366013071895,0.31868131868131866,0.13615023474178403,0.19078947368421054,0.4891304347826087,0.2102803738317757,0.2941176470588235
380655,0.8571428571428571,0.4302788844621514,0.5729442970822282,0.624,0.312,0.41600000000000004,0.626984126984127,0.3147410358565737,0.4190981432360743
1213021,0.7862595419847328,0.5659340659340659,0.65814696485623,0.5384615384615384,0.3867403314917127,0.45016077170418006,0.37404580152671757,0.2692307692307692,0.31309904153354634
623494,0.8548387096774194,0.43983402489626555,0.5808219178082192,0.6097560975609756,0.3125,0.4132231404958678,0.7580645161290323,0.3900414937759336,0.5150684931506849
1334665,0.5984251968503937,0.37438423645320196,0.4606060606060606,0.3492063492063492,0.21782178217821782,0.2682926829268293,0.3700787401574803,0.2315270935960591,0.28484848484848485
611025,0.8032786885245902,0.3798449612403101,0.5157894736842106,0.512396694214876,0.24124513618677043,0.328042328042328,0.5983606557377049,0.28294573643410853,0.3842105263157895
795465,0.6681614349775785,0.6535087719298246,0.6607538802660754,0.47297297297297297,0.46255506607929514,0.46770601336302897,0.5112107623318386,0.5,0.5055432372505543
31239895,0.7581699346405228,0.5420560747663551,0.6321525885558583,0.39473684210526316,0.28169014084507044,0.32876712328767127,0.5555555555555556,0.397196261682243,0.46321525885558584
139299795,0.7685185185185185,0.3878504672897196,0.515527950310559,0.4766355140186916,0.23943661971830985,0.31875000000000003,0.48148148148148145,0.24299065420560748,0.32298136645962733
248715,0.8803418803418803,0.3931297709923664,0.5435356200527705,0.5948275862068966,0.26436781609195403,0.3660477453580902,0.6837606837606838,0.3053435114503817,0.42216358839050133
1239673,0.7516778523489933,0.4534412955465587,0.5656565656565656,0.4797297297297297,0.2886178861788618,0.3604060913705584,0.5369127516778524,0.32388663967611336,0.40404040404040403
113963352,0.803030303030303,0.42231075697211157,0.5535248041775457,0.44274809160305345,0.232,0.30446194225721784,0.5454545454545454,0.2868525896414343,0.3759791122715405
1878548,0.7608695652173914,0.5329949238578681,0.626865671641791,0.5109489051094891,0.35714285714285715,0.42042042042042044,0.4492753623188406,0.3147208121827411,0.3701492537313433
